"Mouse Wireless CANYON CNR-MSOW06B, 1600 dpi, negru","Mouse Wireless CANYON CNR-MSOW06BPentru a va bucura de mai multa libertate atunci lucrati pe notebook sau pe PC, acest mouse fara fir este solutia perfecta pentru a evita aglomerarea de fire pe birou. Tehnologie laser avansata de 2.4 GHz, rezolutie c","","22.9","Mouse","Periferice si accesorii IT","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fmouse-wireless-canyon-cnr-msow06b-1600-dpi-negru%2fcpd%2fMOUCNRMSOW06B","https://cdna.altex.ro//resize/media/catalog/product/M/O/16fa6a9aef7ffd6209d5fd9338ffa0b1/MOUCNRMSOW06B_2_b999e3fe.jpg","MOUCNRMSOW06B","","CANYON","da","","22.9","nu"
"Mouse Wireless CANYON CNS-CMSW01B, 1600 dpi, negru","Mouse Wireless CANYON CNS-CMSW01BAcest mouse wireless e conceput pentru utilitate si performanta. Senzorul sau cu LED albastru ajuta la extinderea duratei de viata a bateriei cu pana la 20% si functioneaza mult mai precis decat un senzor obisnuit ros","","25.9","Mouse","Periferice si accesorii IT","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fmouse-wireless-canyon-cns-cmsw01b-1600-dpi-negru%2fcpd%2fMOUCNSCMSW01B","https://cdna.altex.ro//resize/media/catalog/product/M/O/16fa6a9aef7ffd6209d5fd9338ffa0b1/MOUCNSCMSW01B_1_b5fd5e82.jpg","MOUCNSCMSW01B","","CANYON","nu","","25.9","nu"
"Tastatura cu fir CANYON CNS-HKB2-US, USB, Layout US, negru","Tastatura cu fir CANYON CNS-HKB2-US, negruSimplu este mereu la moda. Descoperiti o tastatura slim cu functii de baza pentru cei care iubesc simplicitatea.","","37.9","Laptop - Desktop - IT","Tastatura calculator","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2ftastatura-cu-fir-canyon-cns-hkb2-us-usb-layout-us-negru%2fcpd%2fTASCNSHKB2US","https://cdna.altex.ro//resize/media/catalog/product/C/N/16fa6a9aef7ffd6209d5fd9338ffa0b1/CNS-HKB2-US_1_4189d5f0.jpg","TASCNSHKB2US","","CANYON","da","","37.9","nu"
"Casti PROMATE Natty, microfon, in ear, cu fir, albastru","Căști sportive universale, cu fixare peste ureche, Promate Natty, BlueAscultați melodiile preferate cu sunet de înaltă calitate cu ajutorul acestui set de căști Natty. Cablul audio ce nu se încurcă împreună cu sistemul de prindere special creat pentr","","24.99","Casti audio In-Ear","Telefoane - Tablete","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-promate-natty-microfon-in-ear-cu-fir-albastru%2fcpd%2fACSNATTYBL","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSNATTYBL_2_285ecece.jpg","ACSNATTYBL","","PROMATE","da","","24.99","nu"
"Casti PROMATE Natty, microfon, in ear, cu fir, rosu","Căști sportive universale, cu fixare peste ureche, Promate Natty, RedAscultați melodiile preferate cu sunet de înaltă calitate cu ajutorul acestui set de căști Natty. Cablul audio ce nu se încurcă împreună cu sistemul de prindere special creat pentru","","19.99","Casti audio telefon","Casti audio In-Ear","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-promate-natty-microfon-in-ear-cu-fir-rosu%2fcpd%2fACSNATTYRD","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSNATTYRD_5429eaad.jpg","ACSNATTYRD","","PROMATE","da","","24.99","da"
"Casti PROMATE Natty, microfon, in ear, cu fir, galben","Căști sportive universale, cu fixare peste ureche, Promate Natty, YellowAscultați melodiile preferate cu sunet de înaltă calitate cu ajutorul acestui set de căști Natty. Cablul audio ce nu se încurcă împreună cu sistemul de prindere special creat pen","","24.99","Casti audio telefon","Casti audio In-Ear","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-promate-natty-microfon-in-ear-cu-fir-galben%2fcpd%2fACSNATTYYL","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSNATTYYL_90c40dce.jpg","ACSNATTYYL","","PROMATE","da","","24.99","nu"
"Casti PROMATE Snazzy, microfon, in ear, cu fir, albastru","Căști stereo sportive universale, Promate Snazzy, BlueAscultați melodiile preferate cu sunet de înaltă calitate cu ajutorul acestui set de căști Snazzy. Cablul audio ce nu se încurcă împreună cu sistemul de prindere special creat pentru prinderea pe ","","26.99","Casti audio telefon","Casti audio In-Ear","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-promate-snazzy-microfon-in-ear-cu-fir-albastru%2fcpd%2fACSSNAZZYBL","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSSNAZZYBL_ec7cf23c.jpg","ACSSNAZZYBL","","PROMATE","da","","26.99","nu"
"Casti PROMATE Solix-1, in ear, Bluetooth, Black","Casti stereo Wireless Multi-point cu tehnologia digitala de reducere a zgomotului de fundal, Promate Solix-1, BlackConstruit pentru antrenamente intense: proiectat pentru a se bloca si a ramane in siguranta in ureche pe parcursul antrenamentului;Rezi","","149.99","Telefoane - Tablete","Casti Bluetooth In-Ear & Neckband","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-promate-solix-1-in-ear-bluetooth-black%2fcpd%2fACSSOLIX1BK","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSSOLIX1BK_2_85d78169.jpg","ACSSOLIX1BK","","PROMATE","da","","149.99","nu"
"Casti PROMATE Swish, microfon, in ear, cu fir, rosu","Casti stereo in-ear universale, Promate Swish, rosuAsculta-ti playlist-ul preferat pentru antrenament la calitatea cristalului cu Swish. Cablul anti-incurcare cu microfon incorporat si buton pentru apelare pe fir asigura un antrenament fara intrerupe","","29.99","Casti audio telefon","Casti audio In-Ear","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-promate-swish-microfon-in-ear-cu-fir-rosu%2fcpd%2fACSSWISHRD","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSSWISHRD_3ab54288.jpg","ACSSWISHRD","","PROMATE","da","","29.99","nu"
"Casti TELLUR Trendy Strip Line, microfon, in ear, cu fir, albastru","Castile audio Tellur sunt perfecte pentru a asculta muzica preferata de pe telefonul mobil, avand in acelasi timp un design modern. Varietatea de culori le fac sa fie un accesoriu la moda care poate fi usor asortat oricarei tinute.","","19.9","Casti audio telefon","Casti audio In-Ear","//afftrk.altex.ro/Counter/Click?adsx=y4UWZE+abj3dU692c+4sFg==&rd=https%3a%2f%2faltex.ro%2fcasti-tellur-trendy-strip-line-microfon-in-ear-cu-fir-albastru%2fcpd%2fACSTLL162021","https://cdna.altex.ro//resize/media/catalog/product/A/C/16fa6a9aef7ffd6209d5fd9338ffa0b1/ACSTLL162021_cd6fbd4d.jpg","ACSTLL162021","","TELLUR","da","","19.9","nu"
